CIK,Filed As Of Date,Conformed Period Of Report,Keyword Whole,Keyword Item 1
0000008818,20160224,20160102,1,1
0000008818,20150225,20150103,1,1
0000008858,20150807,20150627,1,1
0000008858,20160812,20160702,1,1
0000008858,20190815,20190629,1,1
0000008858,20170817,20170701,1,1
0000008858,20140808,20140628,1,1
0000008858,20180817,20180630,1,1
0000008858,20110812,20110702,1,1
0000008858,20090825,20090627,0,0
0000008858,20100813,20100703,1,1
0000008858,20120810,20120630,1,1
0000008858,20130809,20130629,1,1
0000008947,20110512,20110512,1,1
0000008947,20090512,20090512,1,1
0000008947,20120510,20120229,1,1
0000008947,20170420,20170228,1,1
0000008947,20180515,20180228,1,1
0000008947,20100512,20100512,1,1
0000008947,20130429,20130228,1,1
0000008947,20160421,20160229,1,1
0000008947,20140428,20140228,1,1
0000008947,20190517,20190228,1,1
0000008947,20150422,20150228,1,1
0000009092,20170228,20161231,1,1
0000009092,20180301,20171231,1,1
0000009092,20190226,20181231,1,
0000009092,20160226,20151231,1,1
0000009092,20090304,20081231,1,1
0000009092,20100223,20091231,1,1
0000009092,20110228,20101231,1,1
0000009092,20120308,20111231,1,1
0000009092,20130305,20121231,1,1
0000009092,20150304,20141231,1,1
0000009092,20140220,20131231,1,1
0000009263,20100315,20091231,1,1
0000009263,20090310,20081231,1,1
0000009263,20110303,20101231,1,1
0000009263,20120313,20111231,1,1
0000009263,20130305,20121231,1,1
0000009326,20180301,20171231,1,
0000009326,20160229,20151231,1,
0000009326,20170228,20161231,1,
0000009326,20150227,20141231,1,
0000009326,20190228,20181231,1,
0000009326,20140227,20131231,1,1
0000009326,20130225,20121231,1,1
0000009326,20120229,20111231,1,1
0000009326,20090312,20081231,1,1
0000009326,20110228,20101231,1,1
0000009326,20100312,20091231,1,1
0000009892,20100225,20091231,1,1
0000009892,20090226,20081231,1,1
0000009892,20130220,20121231,1,1
0000009892,20170213,20161231,1,1
0000009892,20160212,20151231,1,1
0000009892,20150218,20141231,1,1
0000009892,20140219,20131231,1,1
0000009892,20120223,20111231,1,1
0000009892,20110224,20101231,1,1
0000009984,20160224,20151231,1,1
0000009984,20180220,20171231,1,1
0000009984,20190226,20181231,1,1
0000009984,20120221,20111231,1,1
0000009984,20140225,20131231,1,1
0000009984,20150223,20141231,1,1
0000009984,20130225,20121231,1,1
0000009984,20170221,20161231,1,1
0000009984,20100222,20091231,1,1
0000009984,20090224,20081231,1,1
0000009984,20110218,20101231,1,1
0000010048,20101215,20100930,1,1
0000010048,20161220,20160930,1,1
0000010048,20091215,20090930,1,1
0000010048,20111213,20110930,1,1
0000010048,20151216,20150930,1,1
0000010048,20191223,20190930,1,1
0000010048,20141218,20140930,1,1
0000010048,20181220,20180930,1,1
0000010048,20171221,20170930,1,1
0000010048,20121212,20120930,1,1
0000010048,20131216,20130930,1,1
0000010254,20140610,20140331,1,
0000010254,20190312,20181231,1,1
0000010254,20170315,20161231,1,1
0000010254,20160311,20151231,1,1
0000010254,20180315,20171231,1,1
0000010254,20150327,20141231,1,1
0000010254,20110616,20110609,1,
0000010254,20090618,20090331,1,
0000010254,20100618,20100331,1,
0000010254,20120605,20120331,1,1
0000010254,20130614,20130331,1,
0000010329,20110203,20101127,1,1
0000010329,20090212,20081129,1,1
0000010329,20100212,20091128,1,1
0000010329,20160121,20151128,1,1
0000010329,20180118,20171125,1,1
0000010329,20120203,20111126,1,1
0000010329,20190117,20181124,1,1
0000010329,20150122,20141129,1,1
0000010329,20140123,20131130,1,1
0000010329,20170119,20161126,1,1
0000010329,20130204,20121124,1,1
0000010456,20160226,20151231,1,1
0000010456,20170223,20161231,1,1
0000010456,20190221,20181231,1,1
0000010456,20180223,20171231,1,1
0000010456,20090219,20081231,1,1
0000010456,20130221,20121231,1,1
0000010456,20100223,20091231,1,
0000010456,20140221,20131231,1,1
0000010456,20120223,20111231,1,1
0000010456,20110223,20101231,1,
0000010456,20150226,20141231,1,1
0000010795,20191127,20190930,1,1
0000010795,20151125,20150930,1,1
0000010795,20171122,20170930,1,1
0000010795,20091125,20090930,1,1
0000010795,20141126,20140930,1,1
0000010795,20131127,20130930,1,1
0000010795,20111123,20110930,1,1
0000010795,20101124,20100930,1,1
0000010795,20161123,20160930,1,1
0000010795,20121121,20120930,1,1
0000010795,20181121,20180930,1,1
0000011199,20180223,20171231,1,1
0000011199,20190215,20181231,1,1
0000011199,20100301,20091231,1,1
0000011199,20090227,20081231,1,1
0000011199,20160219,20151231,1,1
0000011199,20150220,20141231,1,1
0000011199,20110301,20101231,1,1
0000011199,20140221,20131231,1,1
0000011199,20170217,20161231,1,1
0000011199,20120229,20111231,1,1
0000011199,20130228,20121231,1,1
0000012040,20191220,20190928,1,1
0000012040,20131227,20130928,1,1
0000012040,20100104,20091003,1,
0000012040,20181224,20180929,1,1
0000012040,20101229,20101002,1,
0000012040,20111228,20111001,1,1
0000012040,20151224,20151003,1,1
0000012040,20171221,20170930,1,1
0000012040,20161223,20161001,1,1
0000012040,20141224,20140927,1,1
0000012040,20121228,20120929,1,1
0000012208,20110228,20101231,1,1
0000012208,20090227,20081231,1,1
0000012208,20140318,20131231,1,1
0000012208,20100226,20091231,1,1
0000012208,20120229,20111231,1,1
0000012208,20190401,20181231,1,1
0000012208,20160229,20151231,1,1
0000012208,20170301,20161231,1,1
0000012208,20180416,20171231,1,1
0000012208,20150302,20141231,1,1
0000012208,20130318,20121231,1,1
0000012659,20150617,20150430,1,0
0000012659,20170616,20170430,1,1
0000012659,20190614,20190430,1,1
0000012659,20180615,20180430,1,1
0000012659,20160617,20160430,1,1
0000012659,20110623,20110430,1,0
0000012659,20130626,20130430,1,0
0000012659,20120626,20120430,1,0
0000012659,20140619,20140430,1,0
0000012659,20100629,20100430,1,1
0000012659,20090629,20090430,1,0
0000012927,20090209,20081231,1,1
0000012927,20100208,20091231,1,1
0000012927,20120209,20111231,1,1
0000012927,20160210,20151231,1,1
0000012927,20110209,20101231,1,1
0000012927,20170208,20161231,1,1
0000012927,20140214,20131231,1,1
0000012927,20190208,20181231,1,1
0000012927,20130211,20121231,1,1
0000012927,20150212,20141231,1,1
0000012927,20180212,20171231,1,1
0000012978,20110222,20101225,1,1
0000012978,20100222,20091226,1,1
0000012978,20090225,20081227,1,1
0000012978,20130225,20121229,1,1
0000012978,20120224,20111231,1,1
0000013573,20190926,20190630,1,
0000013573,20180927,20180701,1,0
0000013573,20130926,20130630,1,0
0000013573,20100924,20100627,0,0
0000013573,20090928,20090628,0,0
0000013573,20110928,20110703,0,0
0000013573,20170928,20170702,1,0
0000013573,20160929,20160703,1,0
0000013573,20150924,20150628,1,0
0000013573,20120927,20120701,1,0
0000013573,20140925,20140629,1,0
0000013610,20090316,20081231,1,1
0000013610,20100302,20091231,1,1
0000014177,20180112,20171103,1,1
0000014177,20120117,20111028,1,1
0000014177,20110114,20101029,1,1
0000014177,20160115,20151030,1,1
0000014177,20130118,20121102,1,1
0000014177,20170113,20161028,1,1
0000014177,20140117,20131101,1,1
