CIK,Filed As Of Date,Conformed Period Of Report,Keyword Whole,Keyword Item 1
0000780571,20150220,20141231,1,
0000780571,20130222,20121231,1,
0000783005,20110510,20110228,1,1
0000783005,20100507,20100228,1,1
0000783005,20090514,20090228,1,1
0000783005,20180510,20180228,1,1
0000783005,20160505,20160229,1,1
0000783005,20120510,20120229,1,1
0000783005,20170511,20170228,1,1
0000783005,20190509,20190228,1,1
0000783005,20130508,20130228,1,1
0000783005,20150507,20150228,1,1
0000783005,20140508,20140228,1,1
0000783324,20190225,20181231,1,1
0000783324,20180306,20171231,1,1
0000783324,20110314,20101231,1,1
0000783324,20170222,20161231,1,1
0000783324,20090313,20081231,1,1
0000783324,20160226,20151231,1,1
0000783324,20120314,20111231,1,1
0000783324,20150303,20141231,1,1
0000783324,20100316,20091231,1,1
0000783324,20140317,20131231,1,1
0000783324,20130314,20121231,1,1
0000783325,20100226,20091231,1,1
0000783325,20090227,20081231,1,1
0000783325,20110225,20101231,1,1
0000783325,20150227,20141231,1,1
0000783325,20140227,20131231,1,1
0000783325,20130227,20121231,1,1
0000783325,20120228,20111231,1,1
0000783325,20160226,20151231,1,1
0000783325,20190226,20181231,1,1
0000783325,20170228,20161231,1,1
0000783325,20180228,20171231,1,1
0000783412,20181212,20180930,1,1
0000783412,20111212,20110930,1,1
0000783412,20101215,20100930,1,1
0000783412,20140624,20130930,1,1
0000783412,20091215,20090930,1,1
0000783412,20121214,20120930,1,1
0000783412,20191212,20190930,1,1
0000783412,20150128,20140930,1,1
0000783412,20171213,20170930,1,1
0000783412,20161214,20160930,1,1
0000783412,20151214,20150930,1,1
0000784011,20110309,20101231,1,1
0000784011,20180302,20171231,1,1
0000784011,20170301,20161231,1,1
0000784011,20120309,20111231,1,1
0000784011,20160307,20151231,1,1
0000784011,20130228,20121231,1,0
0000784011,20150306,20141231,1,1
0000784011,20140306,20131231,1,1
0000784011,20190305,20181231,1,1
0000784011,20090306,20081231,1,1
0000784011,20100310,20091231,1,1
0000784199,20110222,20101231,1,1
0000784199,20090219,20081231,1,1
0000784199,20100219,20091231,1,1
0000784199,20120217,20111231,1,1
0000784199,20150217,20141231,1,1
0000784199,20170216,20161231,1,1
0000784199,20190226,20181231,1,1
0000784199,20160216,20151231,1,1
0000784199,20140221,20131231,1,1
0000784199,20180309,20171231,1,1
0000784199,20130215,20121231,1,1
0000784977,20180216,20171231,1,0
0000784977,20130222,20121231,1,0
0000784977,20190215,20181231,1,0
0000784977,20170217,20161231,1,0
0000784977,20160212,20151231,1,0
0000784977,20140214,20131231,1,0
0000784977,20150213,20141231,1,0
0000784977,20090225,20081231,1,0
0000784977,20100225,20091231,1,0
0000784977,20110225,20101231,1,0
0000784977,20120224,20111231,1,1
0000785161,20100223,20100120,1,1
0000785161,20090224,20081231,1,1
0000785161,20110224,20101231,1,1
0000785161,20190227,20181231,1,1
0000785161,20180228,20171231,1,1
0000785161,20160225,20151231,1,1
0000785161,20120223,20111231,1,1
0000785161,20140220,20131231,1,1
0000785161,20150302,20141231,1,1
0000785161,20170222,20161231,1,1
0000785161,20130219,20121231,1,1
0000785557,20161209,20160930,1,1
0000785557,20181212,20180930,1,1
0000785557,20151216,20150930,1,1
0000785557,20141210,20140930,1,1
0000785557,20171212,20170930,1,1
0000785557,20131210,20130930,1,1
0000785557,20191211,20190930,1,1
0000785557,20100119,20090930,1,1
0000785557,20110214,20100930,1,1
0000785557,20111202,20110930,1,1
0000785557,20121214,20120930,1,1
0000785786,20101119,20101002,1,1
0000785786,20091118,20091003,1,1
0000785786,20161118,20161001,1,1
0000785786,20111117,20111001,1,1
0000785786,20151120,20151003,1,1
0000785786,20181116,20180929,1,1
0000785786,20191115,20190928,1,1
0000785786,20171117,20170930,1,1
0000785786,20121119,20120929,1,1
0000785786,20131122,20130928,1,1
0000785786,20141117,20140927,1,1
0000785787,20160114,20151031,1,1
0000785787,20170117,20161031,1,1
0000785787,20130122,20121031,1,1
0000785787,20150114,20141031,1,1
0000785787,20140114,20131031,1,1
0000785787,20100114,20091031,1,1
0000785787,20090127,20081031,1,1
0000785787,20110114,20101031,1,1
0000785787,20120117,20111031,1,1
0000785956,20111206,20110924,1,1
0000785956,20151123,20150926,1,
0000785956,20181128,20180929,1,
0000785956,20141125,20140927,1,
0000785956,20161122,20160924,1,
0000785956,20171128,20170930,1,
0000785956,20131126,20130928,1,
0000785956,20121127,20120929,1,
0000785956,20191127,20190928,1,
0000785956,20101207,20100925,1,
0000785956,20091208,20090926,1,
0000785968,20120716,20120430,1,0
0000785968,20130715,20130430,1,
0000785968,20140714,20140430,1,
0000785968,20100728,20100430,1,0
0000785968,20110729,20110430,1,0
0000785968,20090601,20080430,0,
0000785968,20090810,20090430,1,1
0000786947,20190916,20181231,1,1
0000786947,20170331,20161231,1,1
0000786947,20180607,20171231,1,1
0000786947,20160229,20151231,1,1
0000786947,20100302,20091231,1,1
0000786947,20110301,20101231,1,1
0000786947,20120305,20111231,1,1
0000786947,20090302,20081231,1,1
